state,price,condition,cylinders,fuel,manufacturer,drive,year,title_status,odometer,paint_color,lat,long,lat_clean,long_clean,cluster_gmm_auto_input
ok,31900,,,gas,bmw,4wd,2018,clean,72887.0,blue,35.435501,-97.518547,35.565342,-96.928917,1
nc,37999,,,gas,nissan,4wd,2018,clean,8485.0,silver,35.299465,-82.439768,35.630066,-79.806419,9
ut,28490,good,4 cylinders,diesel,mitsubishi,rwd,2008,clean,70643.0,green,40.468785,-74.281707,40.150032,-111.862434,6
va,32990,good,6 cylinders,other,jeep,4wd,2019,clean,1423.0,yellow,38.29,-77.48,37.769337,-78.169968,9
ks,54995,,,gas,gmc,4wd,2020,clean,9226.0,,38.990868,-95.233358,38.5266,-96.726486,9
mo,34590,good,8 cylinders,gas,gmc,4wd,2015,clean,35423.0,,38.95,-92.32,38.456085,-92.288368,7
ar,38732,,,gas,gmc,4wd,2016,clean,75793.0,,38.4018,-93.785,34.969704,-92.373123,9
va,19000,excellent,4 cylinders,gas,mercedes-benz,4wd,2015,clean,94000.0,silver,37.2503,-80525.0,37.769337,-78.169968,4
mi,7995,,,gas,ford,,2015,clean,59168.0,,43.1824,-84.1122,43.326618,-84.536095,1
nj,13700,,8 cylinders,gas,ram,4wd,2010,clean,151793.0,black,40.40825,-74.372882,40.298904,-74.521011,7
tn,38991,,,diesel,ram,,2015,clean,102109.0,,36.2245,-79.8901,35.747845,-86.692345,9
ca,59995,,,diesel,ford,4wd,2018,clean,69511.0,,40.175298,-122.233025,36.116203,-119.681564,12
ca,14989,,4 cylinders,other,ford,fwd,2018,clean,62820.0,white,32.82387,-117.1552,36.116203,-119.681564,6
ny,3995,good,4 cylinders,gas,subaru,4wd,2007,clean,170000.0,,43607.0,-76.1369,42.165726,-74.948051,7
id,10995,like new,8 cylinders,gas,mercedes-benz,rwd,2007,clean,104582.0,blue,43.618294,-116.276979,44.240459,-114.478828,6
mi,9981,excellent,4 cylinders,gas,ford,4wd,2014,,106700.0,,42.568136,-83.813674,43.326618,-84.536095,6
oh,7995,,,gas,ford,fwd,2004,clean,170338.0,,41.56995,-81.574738,40.388783,-82.764915,10
mo,27988,good,,other,ford,fwd,2017,clean,70659.0,silver,37.112711,-93.484564,38.456085,-92.288368,10
ct,34990,good,,gas,bmw,rwd,2014,clean,35788.0,white,41.76,-72.68,41.597782,-72.755371,10
nm,4400,,4 cylinders,gas,ford,fwd,2016,rebuilt,134000.0,,3579.0,-106.6169,34.840515,-106.248482,6
